faminc,cigtax,cigprice,bwght,fatheduc,motheduc,parity,male,white,cigs,lbwght,bwghtlbs,packs,lfaminc
13.5,16.5,122.3,109,12.0,12.0,1,1,1,0,4.691348,6.8125,0.0,2.6026897
7.5,16.5,122.3,133,6.0,12.0,2,1,0,0,4.890349,8.3125,0.0,2.014903
0.5,16.5,122.3,129,,12.0,2,0,0,0,4.8598123,8.0625,0.0,-0.6931472
15.5,16.5,122.3,126,12.0,12.0,2,1,0,0,4.836282,7.875,0.0,2.74084
27.5,16.5,122.3,134,14.0,12.0,2,1,1,0,4.89784,8.375,0.0,3.314186
7.5,16.5,122.3,118,12.0,14.0,6,1,0,0,4.7706847,7.375,0.0,2.014903
65.0,16.5,122.3,140,16.0,14.0,2,0,1,0,4.9416423,8.75,0.0,4.1743875
27.5,16.5,122.3,86,12.0,14.0,2,0,0,0,4.454347,5.375,0.0,3.314186
27.5,16.5,122.3,121,12.0,17.0,2,0,1,0,4.7957907,7.5625,0.0,3.314186
37.5,16.5,122.3,129,16.0,18.0,2,0,1,0,4.8598123,8.0625,0.0,3.624341
27.5,16.5,122.3,101,12.0,16.0,2,1,0,0,4.6151204,6.3125,0.0,3.314186
27.5,16.5,122.3,133,16.0,15.0,1,1,1,0,4.890349,8.3125,0.0,3.314186
6.5,16.5,122.3,61,,12.0,3,1,0,0,4.1108737,3.8125,0.0,1.8718022
10.5,16.5,122.3,104,12.0,12.0,1,1,1,0,4.644391,6.5,0.0,2.3513753
12.5,16.5,122.3,92,7.0,12.0,1,1,0,0,4.5217886,5.75,0.0,2.5257287
17.5,16.5,122.3,122,13.0,13.0,1,1,1,0,4.804021,7.625,0.0,2.862201
42.5,16.5,122.3,159,18.0,16.0,1,1,1,0,5.0689044,9.9375,0.0,3.749504
4.5,16.5,122.3,154,,11.0,1,0,0,0,5.0369525,9.625,0.0,1.5040774
32.5,16.5,122.3,120,16.0,16.0,1,1,0,0,4.787492,7.5,0.0,3.48124
6.5,16.5,122.3,138,,11.0,2,0,0,0,4.9272537,8.625,0.0,1.8718022
47.5,16.5,122.3,127,16.0,17.0,1,0,1,0,4.8441873,7.9375,0.0,3.8607297
22.5,16.5,122.3,107,12.0,12.0,2,1,1,0,4.6728287,6.6875,0.0,3.1135154
15.5,16.5,122.3,129,8.0,11.0,2,1,1,6,4.8598123,8.0625,0.3,2.74084
13.5,16.5,122.3,129,12.0,12.0,1,0,0,0,4.8598123,8.0625,0.0,2.6026897
37.5,16.5,122.3,156,11.0,11.0,1,0,1,0,5.049856,9.75,0.0,3.624341
2.5,16.5,122.3,124,11.0,12.0,2,1,0,0,4.8202815,7.75,0.0,0.91629076
2.5,16.5,122.3,79,,12.0,2,1,0,0,4.3694477,4.9375,0.0,0.91629076
32.5,16.5,122.3,112,12.0,12.0,2,1,1,0,4.7184987,7.0,0.0,3.48124
22.5,16.5,122.3,124,12.0,12.0,1,1,1,0,4.8202815,7.75,0.0,3.1135154
0.5,15.0,125.6,134,,12.0,2,1,0,0,4.89784,8.375,0.0,-0.6931472
65.0,15.0,125.6,114,12.0,12.0,1,0,1,0,4.7361984,7.125,0.0,4.1743875
65.0,15.0,125.6,124,16.0,13.0,1,1,1,0,4.8202815,7.75,0.0,4.1743875
65.0,15.0,125.6,122,16.0,16.0,2,1,1,0,4.804021,7.625,0.0,4.1743875
27.5,15.0,125.6,104,11.0,10.0,2,0,0,0,4.644391,6.5,0.0,3.314186
7.5,15.0,125.6,105,5.0,8.0,3,0,1,0,4.65396,6.5625,0.0,2.014903
47.5,15.0,125.6,113,16.0,16.0,2,1,1,0,4.727388,7.0625,0.0,3.8607297
65.0,15.0,125.6,131,12.0,12.0,2,1,1,0,4.8751974,8.1875,0.0,4.1743875
65.0,15.0,125.6,107,16.0,14.0,1,0,1,0,4.6728287,6.6875,0.0,4.1743875
32.5,15.0,125.6,115,12.0,9.0,1,1,1,0,4.744932,7.1875,0.0,3.48124
13.5,15.0,125.6,97,10.0,13.0,3,0,0,0,4.574711,6.0625,0.0,2.6026897
65.0,15.0,125.6,106,12.0,12.0,1,1,1,0,4.6634393,6.625,0.0,4.1743875
47.5,15.0,125.6,132,15.0,12.0,1,1,1,0,4.882802,8.25,0.0,3.8607297
37.5,15.0,125.6,108,18.0,16.0,1,1,1,0,4.6821313,6.75,0.0,3.624341
32.5,15.0,125.6,114,16.0,14.0,1,1,0,0,4.7361984,7.125,0.0,3.48124
18.5,15.0,125.6,134,14.0,12.0,1,1,1,0,4.89784,8.375,0.0,2.9177706
65.0,15.0,125.6,134,18.0,16.0,1,0,0,0,4.89784,8.375,0.0,4.1743875
65.0,15.0,125.6,141,18.0,16.0,1,1,1,0,4.94876,8.8125,0.0,4.1743875
11.5,15.0,125.6,84,12.0,12.0,1,1,1,0,4.4308167,5.25,0.0,2.442347
32.5,15.0,125.6,88,13.0,13.0,3,1,0,0,4.477337,5.5,0.0,3.48124
65.0,15.0,125.6,130,16.0,18.0,1,1,1,0,4.8675346,8.125,0.0,4.1743875
17.5,15.0,125.6,132,12.0,12.0,2,1,0,0,4.882802,8.25,0.0,2.862201
16.5,15.0,125.6,133,13.0,13.0,1,1,1,0,4.890349,8.3125,0.0,2.8033605
22.5,15.0,125.6,108,12.0,12.0,2,0,1,0,4.6821313,6.75,0.0,3.1135154
42.5,15.0,125.6,92,16.0,14.0,2,0,1,0,4.5217886,5.75,0.0,3.749504
32.5,15.0,125.6,127,12.0,14.0,2,1,1,0,4.8441873,7.9375,0.0,3.48124
11.5,15.0,125.6,131,11.0,9.0,1,1,1,0,4.8751974,8.1875,0.0,2.442347
65.0,15.0,125.6,104,16.0,15.0,1,0,1,0,4.644391,6.5,0.0,4.1743875
27.5,15.0,125.6,122,12.0,12.0,1,0,1,0,4.804021,7.625,0.0,3.314186
27.5,15.0,125.6,97,12.0,12.0,2,1,1,0,4.574711,6.0625,0.0,3.314186
17.5,15.0,125.6,122,14.0,16.0,1,0,0,0,4.804021,7.625,0.0,2.862201
65.0,15.0,125.6,118,16.0,13.0,3,1,1,0,4.7706847,7.375,0.0,4.1743875
3.5,15.0,125.6,140,11.0,12.0,2,1,0,0,4.9416423,8.75,0.0,1.2527629
0.5,15.0,125.6,131,12.0,12.0,2,0,0,0,4.8751974,8.1875,0.0,-0.6931472
0.5,15.0,125.6,104,,12.0,2,0,0,10,4.644391,6.5,0.5,-0.6931472
3.5,15.0,125.6,114,,11.0,3,0,1,0,4.7361984,7.125,0.0,1.2527629
65.0,15.0,125.6,141,12.0,13.0,1,0,1,0,4.94876,8.8125,0.0,4.1743875
22.5,15.0,125.6,107,11.0,12.0,2,0,1,0,4.6728287,6.6875,0.0,3.1135154
22.5,21.0,127.7,152,12.0,10.0,1,1,1,0,5.0238805,9.5,0.0,3.1135154
7.5,21.0,127.7,119,12.0,10.0,2,1,0,20,4.7791233,7.4375,1.0,2.014903
27.5,21.0,127.7,135,12.0,12.0,1,0,1,0,4.905275,8.4375,0.0,3.314186
18.5,21.0,127.7,138,12.0,10.0,1,0,1,0,4.9272537,8.625,0.0,2.9177706
37.5,21.0,127.7,108,16.0,16.0,1,1,1,0,4.6821313,6.75,0.0,3.624341
22.5,21.0,127.7,97,7.0,12.0,1,0,1,0,4.574711,6.0625,0.0,3.1135154
27.5,21.0,127.7,131,13.0,12.0,3,1,1,0,4.8751974,8.1875,0.0,3.314186
18.5,21.0,127.7,115,3.0,12.0,1,0,0,40,4.744932,7.1875,2.0,2.9177706
22.5,21.0,127.7,123,16.0,14.0,3,1,0,0,4.8121843,7.6875,0.0,3.1135154
0.5,21.0,127.7,115,,10.0,5,0,0,0,4.744932,7.1875,0.0,-0.6931472
32.5,21.0,127.7,132,18.0,16.0,1,0,1,0,4.882802,8.25,0.0,3.48124
27.5,21.0,127.7,133,14.0,13.0,1,1,0,0,4.890349,8.3125,0.0,3.314186
32.5,21.0,127.7,125,13.0,12.0,1,0,1,0,4.828314,7.8125,0.0,3.48124
15.5,21.0,127.7,117,12.0,12.0,1,1,1,0,4.762174,7.3125,0.0,2.74084
16.5,21.0,127.7,116,16.0,13.0,1,1,1,0,4.75359,7.25,0.0,2.8033605
19.5,21.0,127.7,152,18.0,18.0,2,1,1,0,5.0238805,9.5,0.0,2.9704144
15.5,21.0,127.7,101,10.0,10.0,1,0,0,0,4.6151204,6.3125,0.0,2.74084
14.5,21.0,127.7,107,17.0,12.0,1,1,1,0,4.6728287,6.6875,0.0,2.6741486
32.5,21.0,127.7,136,16.0,14.0,4,0,1,0,4.912655,8.5,0.0,3.48124
14.5,21.0,127.7,120,7.0,9.0,2,0,1,0,4.787492,7.5,0.0,2.6741486
8.5,21.0,127.7,127,17.0,18.0,1,1,1,0,4.8441873,7.9375,0.0,2.1400661
8.5,21.0,127.7,123,,8.0,3,1,1,0,4.8121843,7.6875,0.0,2.1400661
7.5,21.0,127.7,135,14.0,12.0,3,1,1,0,4.905275,8.4375,0.0,2.014903
32.5,21.0,127.7,86,14.0,15.0,1,1,0,0,4.454347,5.375,0.0,3.48124
65.0,21.0,127.7,97,16.0,16.0,1,1,1,0,4.574711,6.0625,0.0,4.1743875
7.5,21.0,127.7,93,14.0,12.0,1,1,0,10,4.5325994,5.8125,0.5,2.014903
27.5,21.0,127.7,96,18.0,12.0,1,0,0,0,4.564348,6.0,0.0,3.314186
13.5,21.0,127.7,109,8.0,8.0,2,0,1,10,4.691348,6.8125,0.5,2.6026897
27.5,21.0,127.7,117,12.0,11.0,1,1,0,0,4.762174,7.3125,0.0,3.314186
18.5,21.0,127.7,115,9.0,12.0,1,0,1,0,4.744932,7.1875,0.0,2.9177706
22.5,10.0,126.4,121,11.0,12.0,1,1,1,20,4.7957907,7.5625,1.0,3.1135154
65.0,10.0,126.4,114,18.0,17.0,2,0,1,0,4.7361984,7.125,0.0,4.1743875
22.5,10.0,126.4,118,12.0,6.0,1,0,1,0,4.7706847,7.375,0.0,3.1135154
42.5,10.0,126.4,134,16.0,16.0,1,0,1,0,4.89784,8.375,0.0,3.749504
37.5,10.0,126.4,156,18.0,15.0,1,1,1,0,5.049856,9.75,0.0,3.624341
11.5,10.0,126.4,139,12.0,12.0,2,0,1,3,4.934474,8.6875,0.15,2.442347
65.0,10.0,126.4,136,18.0,18.0,2,1,1,0,4.912655,8.5,0.0,4.1743875
7.5,10.0,126.4,115,8.0,11.0,1,1,0,0,4.744932,7.1875,0.0,2.014903
22.5,10.0,126.4,23,12.0,12.0,1,1,0,0,3.1354942,1.4375,0.0,3.1135154
65.0,10.0,126.4,135,13.0,12.0,1,0,1,0,4.905275,8.4375,0.0,4.1743875
27.5,10.0,126.4,106,12.0,13.0,1,1,0,10,4.6634393,6.625,0.5,3.314186
7.5,10.0,126.4,116,,10.0,2,1,0,0,4.75359,7.25,0.0,2.014903
65.0,10.0,126.4,147,13.0,16.0,1,1,1,0,4.9904327,9.1875,0.0,4.1743875
8.5,10.0,126.4,115,,10.0,3,0,1,0,4.744932,7.1875,0.0,2.1400661
12.5,10.0,126.4,85,12.0,12.0,3,0,1,0,4.4426513,5.3125,0.0,2.5257287
37.5,10.0,126.4,102,12.0,17.0,1,1,1,0,4.624973,6.375,0.0,3.624341
14.5,10.0,126.4,122,11.0,12.0,1,0,1,0,4.804021,7.625,0.0,2.6741486
65.0,10.0,126.4,109,17.0,16.0,1,1,0,0,4.691348,6.8125,0.0,4.1743875
37.5,10.0,126.4,97,11.0,11.0,2,0,1,20,4.574711,6.0625,1.0,3.624341
27.5,10.0,126.4,136,13.0,17.0,2,0,1,0,4.912655,8.5,0.0,3.314186
65.0,10.0,126.4,131,18.0,12.0,1,0,1,0,4.8751974,8.1875,0.0,4.1743875
32.5,10.0,126.4,116,14.0,12.0,1,1,1,0,4.75359,7.25,0.0,3.48124
6.5,10.0,126.4,86,,12.0,1,1,1,0,4.454347,5.375,0.0,1.8718022
65.0,10.0,126.4,155,13.0,16.0,2,1,1,0,5.043425,9.6875,0.0,4.1743875
6.5,10.0,126.4,122,,10.0,1,1,1,40,4.804021,7.625,2.0,1.8718022
65.0,10.0,126.4,105,18.0,16.0,1,0,1,0,4.65396,6.5625,0.0,4.1743875
65.0,10.0,126.4,131,16.0,16.0,1,1,1,0,4.8751974,8.1875,0.0,4.1743875
7.5,10.0,126.4,126,,11.0,3,0,0,0,4.836282,7.875,0.0,2.014903
17.5,10.0,126.4,127,8.0,10.0,1,1,1,0,4.8441873,7.9375,0.0,2.862201
27.5,10.0,126.4,125,18.0,18.0,1,1,1,0,4.828314,7.8125,0.0,3.314186
37.5,10.0,126.4,98,17.0,16.0,1,1,0,0,4.5849676,6.125,0.0,3.624341
22.5,10.0,126.4,144,12.0,13.0,4,0,0,0,4.9698133,9.0,0.0,3.1135154
22.5,10.0,126.4,91,12.0,13.0,1,0,0,0,4.5108595,5.6875,0.0,3.1135154
65.0,10.0,126.4,106,13.0,16.0,1,0,1,0,4.6634393,6.625,0.0,4.1743875
42.5,10.0,126.4,128,12.0,12.0,2,1,1,0,4.8520303,8.0,0.0,3.749504
2.5,10.0,126.4,144,11.0,12.0,1,1,1,0,4.9698133,9.0,0.0,0.91629076
10.5,10.0,126.4,91,,10.0,4,0,0,0,4.5108595,5.6875,0.0,2.3513753
42.5,10.0,126.4,122,16.0,12.0,2,1,1,0,4.804021,7.625,0.0,3.749504
14.5,10.0,126.4,139,10.0,12.0,1,0,1,0,4.934474,8.6875,0.0,2.6741486
42.5,10.0,126.4,126,10.0,12.0,1,0,1,0,4.836282,7.875,0.0,3.749504
32.5,10.0,126.4,107,18.0,18.0,1,1,1,0,4.6728287,6.6875,0.0,3.48124
3.5,10.0,126.4,79,,12.0,3,1,1,0,4.3694477,4.9375,0.0,1.2527629
42.5,10.0,126.4,102,15.0,12.0,1,1,1,0,4.624973,6.375,0.0,3.749504
15.5,10.0,126.4,126,12.0,16.0,1,1,1,0,4.836282,7.875,0.0,2.74084
32.5,10.0,126.4,120,12.0,12.0,1,0,0,0,4.787492,7.5,0.0,3.48124
19.5,10.0,126.4,101,12.0,12.0,1,1,0,0,4.6151204,6.3125,0.0,2.9704144
42.5,10.0,126.4,131,12.0,12.0,5,1,1,0,4.8751974,8.1875,0.0,3.749504
65.0,10.0,126.4,128,12.0,14.0,2,0,1,0,4.8520303,8.0,0.0,4.1743875
13.5,10.0,126.4,142,13.0,12.0,1,1,0,0,4.955827,8.875,0.0,2.6026897
27.5,10.0,126.4,144,12.0,12.0,1,1,1,0,4.9698133,9.0,0.0,3.314186
42.5,10.0,126.4,58,16.0,15.0,3,0,1,0,4.060443,3.625,0.0,3.749504
5.5,10.0,126.4,88,,12.0,1,1,0,0,4.477337,5.5,0.0,1.704748
5.5,10.0,126.4,123,,12.0,1,0,0,0,4.8121843,7.6875,0.0,1.704748
65.0,10.0,126.4,146,16.0,13.0,2,0,1,0,4.983607,9.125,0.0,4.1743875
22.5,10.0,126.4,135,9.0,13.0,1,1,0,0,4.905275,8.4375,0.0,3.1135154
18.5,10.0,126.4,125,12.0,12.0,1,0,1,0,4.828314,7.8125,0.0,2.9177706
27.5,10.0,126.4,125,,12.0,1,0,0,0,4.828314,7.8125,0.0,3.314186
65.0,10.0,126.4,99,18.0,16.0,1,1,0,0,4.59512,6.1875,0.0,4.1743875
32.5,10.0,126.4,120,12.0,12.0,1,1,1,4,4.787492,7.5,0.2,3.48124
22.5,10.0,126.4,114,5.0,7.0,2,0,0,0,4.7361984,7.125,0.0,3.1135154
37.5,10.0,126.4,88,12.0,12.0,1,0,1,0,4.477337,5.5,0.0,3.624341
65.0,10.0,126.4,106,18.0,15.0,1,1,1,0,4.6634393,6.625,0.0,4.1743875
1.5,10.0,126.4,123,,13.0,2,0,0,0,4.8121843,7.6875,0.0,0.4054651
27.5,10.0,126.4,135,11.0,13.0,2,1,1,0,4.905275,8.4375,0.0,3.314186
47.5,10.0,126.4,116,16.0,12.0,2,1,1,0,4.75359,7.25,0.0,3.8607297
32.5,10.0,126.4,128,14.0,13.0,3,1,1,0,4.8520303,8.0,0.0,3.48124
65.0,10.0,126.4,111,16.0,15.0,1,0,0,0,4.7095304,6.9375,0.0,4.1743875
8.5,10.0,126.4,123,,14.0,1,0,1,0,4.8121843,7.6875,0.0,2.1400661
65.0,10.0,126.4,115,15.0,17.0,3,1,1,0,4.744932,7.1875,0.0,4.1743875
27.5,10.0,126.4,167,12.0,12.0,2,1,1,0,5.117994,10.4375,0.0,3.314186
37.5,10.0,126.4,82,,12.0,2,0,0,0,4.406719,5.125,0.0,3.624341
37.5,10.0,126.4,121,18.0,16.0,2,1,1,0,4.7957907,7.5625,0.0,3.624341
22.5,10.0,126.4,114,11.0,6.0,1,1,1,0,4.7361984,7.125,0.0,3.1135154
37.5,10.0,126.4,116,13.0,15.0,1,1,1,0,4.75359,7.25,0.0,3.624341
8.5,10.0,126.4,141,,12.0,2,1,1,5,4.94876,8.8125,0.25,2.1400661
42.5,10.0,126.4,141,13.0,12.0,2,1,1,0,4.94876,8.8125,0.0,3.749504
65.0,10.0,126.4,120,16.0,16.0,2,0,1,0,4.787492,7.5,0.0,4.1743875
12.5,10.0,126.4,110,12.0,13.0,1,0,1,0,4.7004805,6.875,0.0,2.5257287
27.5,10.0,126.4,120,13.0,14.0,1,0,1,0,4.787492,7.5,0.0,3.314186
27.5,10.0,126.4,125,14.0,18.0,2,1,1,0,4.828314,7.8125,0.0,3.314186
65.0,10.0,126.4,82,15.0,11.0,2,0,0,0,4.406719,5.125,0.0,4.1743875
22.5,10.0,126.4,141,12.0,12.0,1,0,1,0,4.94876,8.8125,0.0,3.1135154
18.5,10.0,126.4,144,7.0,8.0,2,1,1,0,4.9698133,9.0,0.0,2.9177706
13.5,10.0,126.4,102,12.0,12.0,2,0,1,0,4.624973,6.375,0.0,2.6026897
18.5,10.0,126.4,121,12.0,10.0,1,1,1,0,4.7957907,7.5625,0.0,2.9177706
27.5,10.0,126.4,80,14.0,12.0,1,0,0,0,4.3820267,5.0,0.0,3.314186
22.5,10.0,126.4,106,12.0,12.0,2,0,1,0,4.6634393,6.625,0.0,3.1135154
65.0,10.0,126.4,116,15.0,12.0,1,0,1,0,4.75359,7.25,0.0,4.1743875
32.5,10.0,126.4,116,12.0,12.0,1,0,1,10,4.75359,7.25,0.5,3.48124
22.5,10.0,126.4,123,13.0,13.0,2,1,1,0,4.8121843,7.6875,0.0,3.1135154
37.5,10.0,126.4,132,12.0,15.0,1,0,1,0,4.882802,8.25,0.0,3.624341
47.5,10.0,126.4,118,11.0,10.0,2,1,1,20,4.7706847,7.375,1.0,3.8607297
65.0,10.0,126.4,131,18.0,17.0,2,1,1,0,4.8751974,8.1875,0.0,4.1743875
32.5,10.0,126.4,152,18.0,14.0,1,1,0,0,5.0238805,9.5,0.0,3.48124
10.5,10.0,126.4,120,4.0,12.0,3,1,1,0,4.787492,7.5,0.0,2.3513753
22.5,10.0,126.4,145,12.0,12.0,1,0,1,0,4.9767337,9.0625,0.0,3.1135154
37.5,10.0,126.4,124,14.0,16.0,1,1,0,0,4.8202815,7.75,0.0,3.624341
65.0,10.0,126.4,142,18.0,9.0,1,1,1,0,4.955827,8.875,0.0,4.1743875
65.0,10.0,126.4,117,16.0,18.0,2,0,1,0,4.762174,7.3125,0.0,4.1743875
10.5,10.0,126.4,100,12.0,7.0,1,0,1,0,4.6051702,6.25,0.0,2.3513753
32.5,10.0,126.4,120,16.0,13.0,1,1,1,0,4.787492,7.5,0.0,3.48124
32.5,10.0,126.4,145,16.0,13.0,1,1,1,0,4.9767337,9.0625,0.0,3.48124
65.0,10.0,126.4,123,18.0,16.0,1,1,1,0,4.8121843,7.6875,0.0,4.1743875
47.5,10.0,126.4,166,17.0,14.0,2,1,1,0,5.1119876,10.375,0.0,3.8607297
32.5,10.0,126.4,103,13.0,14.0,2,0,1,8,4.634729,6.4375,0.4,3.48124
6.5,10.0,126.4,133,,10.0,2,1,1,0,4.890349,8.3125,0.0,1.8718022
12.5,10.0,126.4,112,5.0,7.0,2,0,0,0,4.7184987,7.0,0.0,2.5257287
47.5,10.0,126.4,119,14.0,11.0,1,1,1,0,4.7791233,7.4375,0.0,3.8607297
19.5,10.0,126.4,123,12.0,12.0,1,1,1,0,4.8121843,7.6875,0.0,2.9704144
7.5,10.0,126.4,107,7.0,,1,0,1,0,4.6728287,6.6875,0.0,2.014903
8.5,10.0,126.4,145,8.0,9.0,3,1,1,0,4.9767337,9.0625,0.0,2.1400661
19.5,10.0,126.4,133,,14.0,1,0,1,0,4.890349,8.3125,0.0,2.9704144
65.0,10.0,126.4,146,16.0,13.0,4,1,1,0,4.983607,9.125,0.0,4.1743875
32.5,10.0,126.4,134,12.0,14.0,1,0,1,0,4.89784,8.375,0.0,3.48124
65.0,10.0,126.4,140,14.0,14.0,1,1,1,0,4.9416423,8.75,0.0,4.1743875
19.5,10.0,126.4,95,10.0,12.0,3,0,0,0,4.553877,5.9375,0.0,2.9704144
17.5,10.0,126.4,126,13.0,13.0,2,0,0,0,4.836282,7.875,0.0,2.862201
27.5,10.0,126.4,134,12.0,15.0,1,0,1,0,4.89784,8.375,0.0,3.314186
12.5,10.0,126.4,64,6.0,7.0,1,1,1,0,4.158883,4.0,0.0,2.5257287
27.5,10.0,126.4,119,,15.0,1,0,1,4,4.7791233,7.4375,0.2,3.314186
32.5,10.0,126.4,140,13.0,16.0,2,1,1,0,4.9416423,8.75,0.0,3.48124
22.5,10.0,126.4,120,6.0,6.0,3,0,1,0,4.787492,7.5,0.0,3.1135154
18.5,10.0,126.4,103,13.0,14.0,2,0,1,0,4.634729,6.4375,0.0,2.9177706
32.5,10.0,126.4,68,12.0,12.0,2,1,1,20,4.2195077,4.25,1.0,3.48124
42.5,10.0,126.4,97,14.0,12.0,1,0,0,0,4.574711,6.0625,0.0,3.749504
37.5,10.0,126.4,120,12.0,12.0,2,0,1,0,4.787492,7.5,0.0,3.624341
32.5,10.0,126.4,121,15.0,14.0,1,0,1,0,4.7957907,7.5625,0.0,3.48124
9.5,10.0,126.4,130,,8.0,2,1,1,0,4.8675346,8.125,0.0,2.2512918
15.5,10.0,126.4,115,12.0,12.0,1,0,1,10,4.744932,7.1875,0.5,2.74084
65.0,10.0,126.4,112,16.0,18.0,2,1,0,0,4.7184987,7.0,0.0,4.1743875
65.0,10.0,126.4,120,12.0,12.0,1,1,1,0,4.787492,7.5,0.0,4.1743875
22.5,10.0,126.4,103,13.0,13.0,3,0,1,12,4.634729,6.4375,0.6,3.1135154
32.5,10.0,126.4,100,12.0,12.0,1,0,1,0,4.6051702,6.25,0.0,3.48124
