bill_amount,tip_amount,gender,smoker,day,time,size
50.97,3.03,Female,No,Sun,Dinner,2
31.02,4.98,Male,No,Sun,Dinner,3
63.03,10.5,Male,No,Sun,Dinner,3
71.04,9.93,Male,No,Sun,Dinner,2
73.77,10.83,Female,No,Sun,Dinner,4
75.87,14.13,Male,No,Sun,Dinner,4
26.31,6,Male,No,Sun,Dinner,2
80.64,9.36,Male,No,Sun,Dinner,4
45.12,5.88,Male,No,Sun,Dinner,2
44.34,9.69,Male,No,Sun,Dinner,2
30.81,5.13,Male,No,Sun,Dinner,2
105.78,15,Female,No,Sun,Dinner,4
46.26,4.71,Male,No,Sun,Dinner,2
55.29,9,Male,No,Sun,Dinner,4
44.49,9.06,Female,No,Sun,Dinner,2
64.74,11.76,Male,No,Sun,Dinner,2
30.99,5.01,Female,No,Sun,Dinner,3
48.87,11.13,Male,No,Sun,Dinner,3
50.91,10.5,Female,No,Sun,Dinner,3
61.95,10.05,Male,No,Sat,Dinner,3
53.76,12.24,Male,No,Sat,Dinner,2
60.87,8.25,Female,No,Sat,Dinner,2
47.31,6.69,Female,No,Sat,Dinner,2
118.26,22.74,Male,No,Sat,Dinner,4
59.46,9.54,Male,No,Sat,Dinner,2
53.43,7.02,Male,No,Sat,Dinner,4
40.11,6,Male,No,Sat,Dinner,2
38.07,6,Male,No,Sat,Dinner,2
65.1,12.9,Male,No,Sat,Dinner,2
58.95,9,Female,No,Sat,Dinner,2
28.65,4.35,Male,No,Sat,Dinner,2
55.05,7.5,Male,No,Sat,Dinner,4
45.18,9,Female,No,Sat,Dinner,2
62.07,7.35,Female,No,Sat,Dinner,4
53.34,9.81,Male,No,Sat,Dinner,2
72.18,10.8,Male,No,Sat,Dinner,3
48.93,6,Male,No,Sat,Dinner,3
50.79,9.21,Female,No,Sat,Dinner,3
56.07,6.93,Male,No,Sat,Dinner,3
93.81,15,Male,No,Sat,Dinner,3
48.12,6.72,Male,No,Sat,Dinner,3
52.38,7.62,Male,No,Sun,Dinner,2
41.82,9.18,Male,No,Sun,Dinner,2
29.04,3.96,Male,No,Sun,Dinner,2
91.2,16.8,Male,No,Sun,Dinner,4
54.87,9,Male,No,Sun,Dinner,2
66.69,15,Male,No,Sun,Dinner,2
97.2,18,Male,No,Sun,Dinner,4
85.65,6.15,Male,No,Sun,Dinner,3
54.12,9,Male,No,Sun,Dinner,2
37.62,7.5,Male,No,Sun,Dinner,2
30.87,7.8,Female,No,Sun,Dinner,2
104.43,15.6,Female,No,Sun,Dinner,4
29.82,4.68,Male,No,Sun,Dinner,2
76.68,13.02,Male,No,Sun,Dinner,4
58.47,10.53,Male,No,Sun,Dinner,2
114.03,9,Male,Yes,Sat,Dinner,4
79.23,4.5,Female,No,Sat,Dinner,2
33.72,5.28,Male,Yes,Sat,Dinner,2
144.81,20.19,Male,No,Sat,Dinner,4
60.87,9.63,Male,Yes,Sat,Dinner,2
41.43,6,Male,Yes,Sat,Dinner,2
33.06,5.94,Male,Yes,Sat,Dinner,2
54.87,11.28,Male,Yes,Sat,Dinner,4
52.77,7.92,Male,No,Sat,Dinner,3
60.24,9.45,Male,No,Sat,Dinner,3
49.35,7.41,Female,No,Sat,Dinner,2
9.21,3,Female,Yes,Sat,Dinner,1
60.69,6.03,Male,No,Sat,Dinner,2
45.03,6.27,Male,Yes,Sat,Dinner,2
36.06,5.91,Male,No,Sat,Dinner,2
51.21,9,Female,No,Sat,Dinner,3
80.58,9.42,Female,Yes,Sat,Dinner,2
75.84,15,Female,Yes,Sat,Dinner,2
44.19,6.6,Female,No,Sat,Dinner,2
31.53,3.75,Male,No,Sat,Dinner,2
53.76,9.24,Male,Yes,Sat,Dinner,2
81.6,12,Male,No,Thur,Lunch,4
68.28,9,Male,No,Thur,Lunch,2
51.87,8.13,Male,No,Thur,Lunch,2
58.32,9,Male,Yes,Thur,Lunch,2
49.98,10.2,Male,No,Thur,Lunch,2
30.21,5.49,Female,No,Thur,Lunch,1
98.04,15,Male,Yes,Thur,Lunch,2
47.94,6.09,Male,No,Thur,Lunch,2
104.49,15.51,Female,No,Thur,Lunch,4
39.09,6,Male,No,Thur,Lunch,2
54.84,12,Male,No,Thur,Lunch,2
74.13,17.55,Male,No,Thur,Lunch,2
63.48,9,Male,No,Thur,Lunch,2
86.91,9,Male,Yes,Fri,Dinner,2
67.47,10.5,Male,No,Fri,Dinner,2
17.25,3,Female,Yes,Fri,Dinner,2
48.96,12.9,Female,Yes,Fri,Dinner,2
68.25,9.75,Female,No,Fri,Dinner,2
120.51,14.19,Male,Yes,Fri,Dinner,4
81.84,12,Male,Yes,Fri,Dinner,2
36.09,4.5,Male,Yes,Fri,Dinner,2
63.03,9,Male,Yes,Fri,Dinner,2
37.38,4.5,Male,No,Fri,Dinner,2
34.05,7.5,Female,Yes,Fri,Dinner,2
46.14,9,Female,Yes,Fri,Dinner,2
132.9,7.5,Female,Yes,Sat,Dinner,3
67.26,10.44,Female,Yes,Sat,Dinner,2
62.76,12.24,Female,No,Sat,Dinner,2
46.08,4.92,Male,Yes,Sat,Dinner,2
61.47,12.18,Male,Yes,Sat,Dinner,2
75.63,12.87,Male,Yes,Sat,Dinner,2
54.72,11.28,Male,No,Sat,Dinner,2
42.93,12,Female,Yes,Sat,Dinner,2
42,9,Male,No,Sat,Dinner,2
21.75,3,Female,No,Sat,Dinner,1
114.21,12,Male,No,Sun,Dinner,3
71.85,7.65,Male,No,Sun,Dinner,2
77.13,12,Female,No,Sun,Dinner,3
51.93,10.5,Female,No,Sun,Dinner,2
89.79,15.21,Male,No,Sun,Dinner,4
31.95,4.5,Female,No,Thur,Lunch,2
37.29,5.4,Female,No,Thur,Lunch,2
72.24,8.76,Female,No,Thur,Lunch,4
35.07,6.93,Male,No,Thur,Lunch,2
40.26,5.04,Female,No,Thur,Lunch,2
42.78,7.5,Male,No,Thur,Lunch,2
47.85,6,Male,No,Thur,Lunch,2
37.44,7.56,Female,No,Thur,Lunch,2
89.4,12.6,Female,No,Thur,Lunch,6
25.56,4.44,Male,No,Thur,Lunch,2
43.56,6,Female,No,Thur,Lunch,2
34.14,6,Female,No,Thur,Lunch,2
68.46,6.54,Male,No,Thur,Lunch,3
57.24,4.5,Male,No,Thur,Lunch,2
60.81,8.49,Female,No,Thur,Lunch,2
33.51,4.5,Female,No,Thur,Lunch,2
36.78,6,Female,No,Thur,Lunch,2
54.78,9.75,Female,No,Thur,Lunch,2
25.53,3.75,Female,No,Thur,Lunch,2
30.99,6,Female,No,Thur,Lunch,2
42.45,6,Female,No,Thur,Lunch,2
48,6,Male,Yes,Thur,Lunch,2
39.48,8.25,Female,No,Thur,Lunch,2
52.41,10.5,Female,No,Thur,Lunch,2
102.9,20.1,Male,No,Thur,Lunch,6
123.57,15,Male,No,Thur,Lunch,5
81.15,15,Female,No,Thur,Lunch,6
49.29,6.9,Female,No,Thur,Lunch,2
25.05,4.5,Female,No,Thur,Lunch,2
55.92,4.08,Female,No,Thur,Lunch,3
35.61,4.89,Female,No,Thur,Lunch,2
29.34,5.19,Male,No,Thur,Lunch,2
22.53,6,Male,No,Thur,Lunch,2
42.21,7.5,Male,No,Sun,Dinner,2
39.39,6,Male,No,Sun,Dinner,2
51.78,8.22,Male,No,Sun,Dinner,3
73.65,6,Male,No,Sun,Dinner,4
59.31,6,Male,No,Sun,Dinner,4
89.55,15.42,Female,No,Sun,Dinner,5
144.51,15,Male,No,Sun,Dinner,6
75,11.25,Female,No,Sun,Dinner,4
40.17,7.83,Female,No,Sun,Dinner,2
49.47,6,Male,No,Sun,Dinner,4
64.5,10.5,Male,No,Sun,Dinner,4
37.98,7.5,Male,No,Sun,Dinner,2
48.63,6,Female,No,Sun,Dinner,3
41.43,6,Male,No,Sun,Dinner,2
52.53,9,Female,Yes,Sun,Dinner,2
73.56,10.44,Male,No,Sun,Dinner,3
62.28,6.72,Male,No,Sun,Dinner,2
95.13,13.5,Male,No,Sun,Dinner,4
31.77,4.83,Female,Yes,Sat,Dinner,2
31.89,6,Female,Yes,Sat,Dinner,2
152.43,30,Male,Yes,Sat,Dinner,3
47.43,9.48,Male,Yes,Sat,Dinner,2
21.75,15.45,Male,Yes,Sun,Dinner,2
95.55,9.54,Male,Yes,Sun,Dinner,2
50.46,12,Male,Yes,Sun,Dinner,2
98.7,9.33,Male,Yes,Sun,Dinner,2
53.67,6,Male,Yes,Sun,Dinner,2
43.44,6,Male,Yes,Sun,Dinner,2
28.8,12,Female,Yes,Sun,Dinner,2
103.89,10.65,Male,Yes,Sun,Dinner,2
103.95,11.04,Male,Yes,Sun,Dinner,4
69.99,16.95,Male,Yes,Sun,Dinner,2
136.05,10.5,Male,Yes,Sun,Dinner,3
69.51,19.5,Male,Yes,Sun,Dinner,4
121.65,9,Male,Yes,Sun,Dinner,2
62.07,15,Male,No,Sun,Dinner,5
62.7,10.5,Female,Yes,Sun,Dinner,3
91.38,6,Male,Yes,Sun,Dinner,5
54.45,10.5,Female,Yes,Sun,Dinner,3
69.3,12,Male,Yes,Sun,Dinner,3
47.07,4.5,Male,Yes,Sun,Dinner,2
59.43,12.57,Female,Yes,Thur,Lunch,2
85.32,7.68,Male,Yes,Thur,Lunch,2
46.44,6.06,Male,Yes,Thur,Lunch,2
49.74,12,Male,Yes,Thur,Lunch,2
22.68,4.32,Male,No,Thur,Lunch,2
31.02,6,Male,Yes,Thur,Lunch,2
129.33,15,Female,Yes,Thur,Lunch,4
39,6,Female,Yes,Thur,Lunch,2
40.53,6,Male,Yes,Thur,Lunch,2
56.13,12,Male,Yes,Thur,Lunch,3
38.22,6.03,Female,Yes,Thur,Lunch,2
39,6,Female,Yes,Thur,Lunch,2
49.2,7.5,Female,Yes,Thur,Lunch,2
61.59,12,Male,Yes,Thur,Lunch,4
49.41,9.69,Female,Yes,Thur,Lunch,3
79.77,10.23,Male,Yes,Sat,Dinner,3
116.19,9,Male,Yes,Sat,Dinner,4
72.81,6.09,Male,Yes,Sat,Dinner,2
38.28,6.69,Female,Yes,Sat,Dinner,2
90.18,6,Male,Yes,Sat,Dinner,3
77.67,15.48,Male,Yes,Sat,Dinner,4
144.99,27,Male,No,Sat,Dinner,4
39.81,7.5,Female,Yes,Sat,Dinner,2
84.51,19.5,Female,Yes,Sat,Dinner,3
38.7,3.3,Female,Yes,Sat,Dinner,2
84.45,9,Male,Yes,Sat,Dinner,5
34.77,4.5,Male,Yes,Sat,Dinner,2
23.22,4.32,Male,Yes,Sat,Dinner,2
90.42,9.27,Female,Yes,Sat,Dinner,4
36.48,6.6,Male,Yes,Fri,Lunch,2
40.26,10.44,Female,Yes,Fri,Lunch,2
25.74,5.76,Male,Yes,Fri,Lunch,1
47.94,9,Female,No,Fri,Lunch,3
40.26,4.74,Male,Yes,Fri,Lunch,2
48.81,7.5,Female,Yes,Fri,Lunch,2
30.27,6,Female,Yes,Fri,Lunch,2
61.35,9,Male,No,Sat,Dinner,4
39.84,8.16,Male,No,Sat,Dinner,2
66.36,8.64,Female,Yes,Sat,Dinner,2
72.03,6,Male,Yes,Sat,Dinner,4
47.07,9,Male,Yes,Sat,Dinner,3
34.83,10.17,Male,No,Sat,Dinner,2
32.31,4.41,Male,No,Sat,Dinner,2
46.59,9,Male,Yes,Sat,Dinner,2
30.21,3.75,Male,No,Sat,Dinner,2
37.8,3,Male,Yes,Sat,Dinner,2
98.49,3.51,Male,Yes,Sat,Dinner,2
107.49,14.01,Female,No,Sat,Dinner,3
87.09,17.76,Male,No,Sat,Dinner,3
81.54,6,Female,Yes,Sat,Dinner,2
68.01,6,Male,Yes,Sat,Dinner,2
53.46,5.25,Male,No,Sat,Dinner,2
56.34,9,Female,No,Thur,Dinner,2
