year,wage,belavg,abavg,avg,exper,looks,union,goodhealth,black,female,marries,south,bigcity,smllcity,service,edu
1977,5.73,0,1,0,30,4,0,1,0,1,1,0,0,1,1,14
1977,4.28,0,0,1,28,3,0,1,0,1,1,1,0,1,0,12
1977,7.96,0,1,0,35,4,0,1,0,1,0,0,0,1,0,10
1977,11.57,0,0,1,38,3,0,1,0,0,1,0,1,0,1,16
1977,11.42,0,0,1,27,3,0,1,0,0,1,0,0,1,0,16
1977,3.91,0,0,1,20,3,0,0,0,1,1,0,1,0,0,12
1977,8.76,0,0,1,12,3,0,1,0,0,1,0,1,0,0,16
1977,7.69,0,1,0,5,4,1,1,0,0,0,0,0,1,0,16
1977,5,0,0,1,5,3,0,1,0,1,0,0,0,0,0,16
1977,3.89,0,0,1,12,3,0,1,0,1,0,0,0,1,0,12
1977,3.45,0,1,0,3,4,0,1,0,1,0,0,1,0,0,12
1977,4.03,0,1,0,6,4,0,1,0,0,1,0,0,1,0,16
1977,5.14,1,0,0,19,2,0,1,0,0,1,0,0,1,1,17
1977,3,0,0,1,8,3,0,1,0,0,0,0,0,1,1,16
1977,7.99,0,1,0,12,4,0,1,0,0,1,0,0,0,0,16
1977,6.01,0,1,0,17,4,0,1,0,0,1,0,0,1,0,16
1977,5.16,0,0,1,7,3,0,1,0,0,1,0,0,0,0,17
1977,11.54,0,1,0,12,4,0,1,0,0,1,1,0,1,1,17
1977,10.44,0,1,0,10,4,0,1,0,1,0,0,1,0,0,17
1977,7.69,0,0,1,7,3,0,1,0,1,1,0,0,0,1,16
1977,7.69,0,1,0,7,4,1,1,0,0,0,0,0,1,0,17
1977,6.79,0,0,1,19,3,0,1,0,0,1,0,0,1,1,14
1977,6.87,0,0,1,33,3,0,1,0,0,1,0,1,0,1,12
1977,17.03,0,0,1,32,3,0,1,0,0,1,0,1,0,0,13
1977,10.05,0,1,0,12,4,0,1,0,0,1,0,1,0,0,13
1977,15.81,0,1,0,24,4,0,1,0,0,1,1,0,1,1,17
1977,14.84,0,1,0,29,5,0,1,0,0,0,1,1,0,1,13
1977,19.08,0,1,0,17,5,0,1,0,0,0,0,1,0,0,17
1977,8.35,1,0,0,41,1,0,0,0,0,1,1,1,0,1,16
1977,9.62,0,0,1,40,3,0,0,0,0,1,0,0,1,0,16
1977,5.96,0,0,1,10,3,0,1,0,0,1,0,0,1,0,14
1977,5.73,0,0,1,43,3,0,0,0,0,1,0,0,1,0,10
1977,6.73,0,1,0,41,4,0,1,0,0,1,0,0,1,0,10
1977,8.17,1,0,0,18,2,0,1,0,0,1,0,0,1,0,16
1977,12.39,0,1,0,28,4,0,1,0,0,1,0,1,0,0,12
1977,9.62,1,0,0,37,2,0,1,0,0,1,0,1,0,0,13
1977,4.83,0,1,0,20,4,0,1,1,0,1,0,0,1,0,16
1977,7.69,1,0,0,10,2,1,1,0,0,1,0,0,1,0,13
1977,12.5,0,0,1,31,3,0,1,0,0,1,1,0,1,0,16
1977,2.82,0,0,1,18,3,0,1,0,0,1,0,0,0,1,12
1977,12.31,0,0,1,9,3,1,1,0,0,0,0,1,0,0,17
1977,13.22,0,0,1,42,3,0,1,0,0,1,0,1,0,0,16
1977,16.83,0,1,0,14,4,0,1,0,0,1,1,1,0,0,16
1977,11.54,0,0,1,27,3,0,1,0,0,1,0,1,0,0,16
1977,4.95,0,0,1,20,3,0,1,1,1,0,1,1,0,1,14
1977,7.21,0,0,1,14,3,0,1,0,0,1,0,1,0,0,17
1977,11.58,0,0,1,4,3,0,1,0,0,1,0,1,0,0,17
1977,15.38,0,0,1,13,3,0,1,0,0,1,0,1,0,0,17
1977,6.1,0,0,1,5,3,0,1,0,0,1,0,0,1,1,17
1977,7.93,0,0,1,32,3,0,1,0,0,1,0,1,0,1,17
1977,9.16,0,1,0,19,4,1,1,0,1,1,0,1,0,1,17
1977,6.91,0,1,0,14,4,0,1,0,1,0,1,1,0,1,17
1977,20.18,0,0,1,28,3,0,1,0,0,1,0,1,0,1,17
1977,9.93,0,0,1,31,3,1,1,0,0,1,1,0,1,0,17
1977,7.79,0,1,0,18,4,0,1,0,0,1,0,0,1,0,13
1977,5.13,0,0,1,23,3,0,1,0,0,1,0,0,0,1,5
1977,10.99,0,1,0,14,4,0,1,0,0,1,1,0,1,0,16
1977,6.56,1,0,0,17,2,0,1,0,0,1,0,0,1,0,13
1977,10.1,0,0,1,16,3,0,1,0,0,1,0,1,0,0,13
1977,10.74,0,0,1,19,3,0,1,0,0,1,0,0,0,0,16
1977,16.35,0,0,1,26,3,0,1,0,0,1,0,1,0,0,17
1977,4.62,0,1,0,20,4,0,1,0,1,1,1,0,1,1,12
1977,7.49,0,0,1,18,3,0,1,0,0,1,0,0,0,0,17
1977,19.23,0,0,1,35,3,0,1,0,0,1,0,1,0,0,17
1977,4.77,0,1,0,9,4,0,1,0,1,0,1,0,1,1,17
1977,7.14,1,0,0,20,2,0,1,0,1,0,0,1,0,1,17
1977,14.42,0,1,0,7,4,0,1,0,0,1,1,0,0,1,17
1977,9.28,0,1,0,40,4,0,1,0,0,0,1,0,0,1,17
1977,29.98,0,0,1,12,3,0,1,0,0,1,0,0,1,1,17
1977,32.79,0,1,0,33,4,0,1,0,0,1,0,0,1,1,16
1977,9.62,0,0,1,16,3,0,1,0,0,1,0,0,1,0,16
1977,8.36,0,0,1,15,3,0,1,0,1,1,0,1,0,0,16
1977,21.63,0,0,1,11,3,0,1,0,0,1,0,0,1,1,17
1977,15.9,0,1,0,24,4,0,1,0,0,1,0,0,1,1,17
1977,5.77,1,0,0,6,2,0,1,0,0,1,1,1,0,1,17
1977,20.99,1,0,0,40,2,0,1,0,0,1,1,1,0,1,17
1977,23.32,0,1,0,15,5,0,1,0,0,1,1,0,0,1,17
1977,4.97,0,1,0,9,4,0,1,0,0,1,0,0,1,1,17
1977,6.89,1,0,0,16,2,0,1,0,0,1,1,0,0,0,17
1977,5.73,1,0,0,12,2,0,1,0,1,0,1,1,0,1,13
1977,5.19,0,0,1,8,3,0,1,0,0,1,0,0,1,1,17
1977,7.79,0,0,1,25,3,1,1,0,1,0,0,0,1,1,17
1977,8.79,0,0,1,24,3,1,1,0,1,1,0,0,0,1,16
1977,9.32,0,1,0,25,4,1,1,0,1,0,1,0,1,0,17
1977,8.33,0,1,0,7,4,0,1,0,1,0,1,1,0,1,17
1977,10.12,0,0,1,40,3,0,1,1,1,0,0,0,1,1,10
1977,1.98,0,0,1,29,3,0,0,0,1,0,0,0,0,1,8
1977,8.24,0,1,0,13,4,0,1,0,1,1,0,1,0,1,17
1977,5.05,0,1,0,5,4,0,1,0,1,0,0,0,0,1,14
1977,6.55,0,0,1,10,3,0,1,0,1,1,0,0,0,0,16
1977,4.47,0,0,1,25,3,1,1,0,0,1,0,0,0,1,13
1977,7.96,0,0,1,10,3,0,1,0,1,1,0,1,0,1,16
1977,6.25,1,0,0,20,2,0,1,0,0,0,0,0,0,1,17
1977,4.13,0,0,1,7,3,0,1,0,0,0,0,0,0,0,16
1977,6.73,1,0,0,25,2,0,1,0,1,1,1,0,0,1,13
1977,7.69,0,0,1,8,3,0,1,0,1,0,0,0,1,1,17
1977,4.35,1,0,0,8,2,0,1,0,1,1,0,0,1,1,14
1977,7.69,0,0,1,28,3,0,1,0,0,1,0,0,1,0,14
1977,4.81,1,0,0,37,2,0,1,0,0,1,1,0,1,1,16
1977,5.24,0,0,1,31,3,0,1,0,0,1,0,0,0,1,17
1977,2.14,0,1,0,24,4,0,1,0,0,1,0,0,0,1,16
1977,4.49,0,1,0,33,4,0,1,0,0,1,0,0,0,1,17
1977,3.61,0,1,0,8,4,0,1,0,0,1,0,0,1,1,17
1977,5.45,0,0,1,33,3,0,1,0,0,1,0,0,1,1,17
1977,5,0,0,1,30,3,0,1,0,0,1,0,0,0,1,17
1977,6.73,0,0,1,23,3,0,1,0,0,1,0,0,1,1,17
1977,10.05,0,0,1,24,3,0,1,0,0,1,0,0,0,0,16
1977,6.54,0,1,0,4,4,0,1,0,0,1,0,0,1,0,17
1977,9.2,0,0,1,40,3,0,1,0,1,0,0,0,0,1,17
1977,4.62,0,0,1,1,3,0,1,0,1,0,0,0,1,1,16
1977,3.37,0,0,1,36,3,0,1,1,1,0,0,1,0,1,13
1977,5.54,0,1,0,7,4,0,1,0,1,0,0,0,1,1,17
1977,6.11,0,1,0,7,5,0,1,0,1,1,0,0,0,0,12
1977,4.99,0,0,1,14,3,0,1,0,1,0,0,0,1,1,13
1977,5.88,0,0,1,7,3,0,1,0,1,1,0,0,1,1,17
1977,5.66,0,1,0,11,4,1,1,0,1,0,1,0,1,1,16
1977,4,0,0,1,6,3,0,1,0,0,1,0,0,1,1,16
1977,6.87,0,0,1,23,3,0,1,0,1,1,0,0,0,1,16
1977,4.37,1,0,0,19,2,0,1,0,1,0,0,0,0,1,17
1977,5.77,0,0,1,30,3,0,1,0,0,1,1,0,1,0,13
1977,5.77,0,1,0,21,4,0,1,0,0,1,1,0,0,1,17
1977,12.31,0,1,0,9,4,0,1,0,0,1,0,1,0,1,17
1977,19.08,0,0,1,29,3,1,1,0,0,1,1,0,1,1,17
1977,7.55,0,0,1,9,3,0,1,0,1,0,0,0,0,1,17
1977,5.9,0,1,0,18,4,0,1,0,1,0,0,0,0,1,17
1977,6.37,0,0,1,26,3,0,1,0,1,0,1,0,0,1,17
1977,6.15,0,1,0,21,4,1,1,0,0,1,0,0,0,1,17
1977,1.92,1,0,0,12,2,1,1,0,1,1,1,0,1,1,17
1977,3.27,0,0,1,11,3,0,1,0,0,0,0,0,1,1,17
1977,2.18,0,1,0,18,4,0,1,0,0,0,0,0,1,1,17
1977,5.62,0,0,1,22,3,0,1,0,0,1,0,0,1,1,17
1977,9.29,0,1,0,38,4,0,1,0,1,0,0,0,0,1,17
1977,6.41,0,0,1,10,3,1,1,0,1,1,0,0,1,1,17
1977,7.46,0,0,1,22,3,1,1,0,1,1,0,0,1,1,16
1977,6.59,1,0,0,16,2,1,1,0,1,0,0,1,0,1,17
1977,6.73,1,0,0,20,2,1,1,0,1,1,1,0,1,1,17
1977,5.61,0,0,1,14,3,1,1,0,1,1,1,0,1,1,16
1977,3.65,0,1,0,14,4,0,1,0,1,1,0,1,0,1,16
1977,13.01,0,1,0,15,4,1,1,0,0,1,0,1,0,1,17
1977,6.97,0,0,1,18,3,1,1,0,0,0,0,0,0,1,17
1977,7.69,0,0,1,21,3,1,1,0,1,1,1,0,1,1,17
1977,6.73,0,0,1,15,3,0,1,0,0,1,1,0,1,1,16
1977,5.13,0,0,1,10,3,1,1,0,1,0,0,0,0,1,17
1977,2.14,0,1,0,6,4,0,1,0,1,1,0,0,1,1,16
1977,4.53,1,0,0,8,2,1,1,0,1,1,0,0,1,1,14
1977,9.1,1,0,0,18,2,0,1,0,1,0,1,1,0,1,17
1977,9.78,0,0,1,15,3,1,1,0,1,0,0,0,1,1,17
1977,3.63,0,1,0,11,4,0,1,0,1,1,0,1,0,1,13
1977,7.21,0,0,1,20,3,1,0,1,1,1,0,1,0,1,17
1977,10.62,0,0,1,18,3,1,1,0,1,1,0,0,1,1,17
1977,4.62,0,0,1,10,3,1,1,0,1,1,0,0,1,1,17
1977,6.54,0,0,1,26,3,1,1,0,1,0,1,0,0,1,14
1977,12.12,0,0,1,35,3,1,0,0,1,0,0,1,0,1,17
1977,7.21,0,1,0,30,4,1,1,0,1,1,0,0,1,1,16
1977,6.25,0,1,0,6,4,1,0,0,1,0,0,0,1,1,16
1977,3.85,0,0,1,13,3,1,1,0,1,1,0,0,1,1,17
1977,3.03,0,0,1,10,3,0,0,0,1,1,0,0,1,1,16
1977,2.01,0,0,1,16,3,0,1,0,1,1,0,1,0,1,16
1977,3.9,0,1,0,5,4,1,1,0,1,1,0,0,0,1,17
1977,6.35,0,0,1,11,3,1,1,0,1,0,0,1,0,1,17
1977,2,0,1,0,6,4,0,1,0,1,1,0,0,0,1,14
1977,7.69,0,0,1,22,3,1,1,0,0,1,1,0,1,1,17
1977,2.63,0,0,1,4,3,0,1,0,1,0,0,1,0,1,12
1977,5,0,1,0,15,4,1,1,0,1,1,1,1,0,1,17
1977,6.54,0,0,1,7,3,0,1,0,1,0,0,1,0,1,17
1977,5.19,0,0,1,10,3,0,1,0,1,1,0,0,1,1,16
1977,9.75,0,0,1,8,3,1,1,0,1,1,0,1,0,1,16
1977,2.81,0,0,1,14,3,0,1,1,1,1,0,1,0,0,13
1977,4.62,0,0,1,11,3,1,1,0,0,1,0,0,1,1,17
1977,7.33,0,0,1,34,3,1,1,0,0,1,0,0,1,1,17
1977,7.69,0,1,0,12,4,1,1,0,0,1,0,0,0,1,17
1977,3.26,0,0,1,10,3,1,1,0,0,1,0,0,0,1,17
1977,5.77,1,0,0,11,2,0,1,0,1,0,0,0,1,1,17
1977,5.59,0,1,0,8,4,1,1,0,0,0,0,0,1,1,17
1977,5.13,0,0,1,28,3,0,1,1,0,0,0,0,0,1,16
1977,14.74,1,0,0,24,2,1,1,0,0,1,0,1,0,1,17
1977,3.67,0,0,1,8,3,1,1,0,1,0,0,0,0,1,17
1977,9.73,0,1,0,13,4,0,1,0,0,1,0,0,0,1,17
1977,3.46,0,0,1,4,3,1,1,0,0,1,0,0,0,1,13
1977,6.37,0,1,0,43,4,1,1,0,0,1,0,0,1,1,17
1977,6.58,0,0,1,30,3,0,1,0,1,1,0,0,1,1,16
1977,10.15,0,0,1,16,3,1,1,1,0,0,0,1,0,1,16
1977,9.23,0,0,1,19,3,1,1,0,0,1,1,0,0,1,17
1977,6.75,0,0,1,21,3,0,0,0,0,1,1,0,1,1,17
1977,10.22,0,0,1,26,3,0,1,0,1,0,0,1,0,1,17
1977,4.76,0,0,1,8,3,1,1,0,0,1,0,0,1,1,16
1977,1.76,0,0,1,24,3,0,1,0,1,0,0,1,0,1,17
1977,12.73,0,1,0,15,4,1,1,0,0,1,0,0,1,1,17
1977,5.85,0,0,1,26,3,1,1,0,0,1,0,0,0,0,12
1977,3.17,0,0,1,6,3,0,0,0,0,1,0,0,0,0,16
1977,5.99,1,0,0,19,2,0,1,0,0,1,0,0,1,0,12
1977,4.62,0,0,1,4,3,0,1,0,0,1,0,1,0,0,12
1977,1.8,0,1,0,23,4,0,1,0,0,1,1,0,0,1,13
1977,5.95,0,1,0,25,4,0,1,0,0,1,0,0,1,1,13
1977,7.46,0,0,1,18,3,0,1,0,0,1,0,1,0,0,12
1977,8.7,1,0,0,27,2,0,1,0,0,1,0,0,1,0,13
1977,3.75,0,0,1,16,3,0,1,0,0,1,0,0,0,0,10
1977,7.69,0,0,1,20,3,0,1,0,0,1,0,0,1,1,12
1977,5.24,0,0,1,12,3,0,0,0,0,1,0,0,0,0,14
1977,10.1,0,1,0,35,4,0,1,0,0,1,0,1,0,0,12
1977,3.75,1,0,0,36,1,0,1,0,0,0,0,0,1,0,12
1977,5.79,0,0,1,35,3,0,1,0,0,1,0,0,1,0,13
1977,5.06,0,0,1,5,3,0,1,0,0,1,0,0,1,1,17
1977,7.96,0,1,0,15,4,1,1,0,0,1,0,0,1,0,13
1977,12.82,0,0,1,44,3,1,1,0,0,1,0,1,0,0,12
1977,8.46,0,0,1,28,3,0,1,0,0,1,1,0,1,0,13
1977,3.76,0,1,0,2,4,1,1,0,1,0,1,1,0,1,13
1977,2.86,0,0,1,43,3,0,1,0,0,1,0,0,1,1,12
1977,11.81,0,0,1,30,3,1,1,0,0,1,0,1,0,0,10
1977,7.69,0,0,1,26,3,0,1,0,0,1,0,0,1,0,12
1977,7.21,0,0,1,40,3,1,0,0,0,1,0,1,0,0,12
1977,2.88,0,1,0,7,4,0,1,1,1,0,0,0,1,1,13
1977,5.73,0,0,1,10,3,1,1,0,1,0,1,0,1,0,12
1977,4.49,1,0,0,37,2,0,1,0,0,1,0,0,0,1,12
1977,9.57,0,1,0,27,4,1,1,0,0,1,0,0,1,1,17
1977,3.61,0,0,1,5,3,0,1,0,0,1,0,1,0,1,17
1977,7.77,1,0,0,14,2,0,1,0,0,1,0,0,0,0,13
1977,9.23,1,0,0,16,2,0,1,0,0,0,0,1,0,0,16
1977,5.58,0,0,1,4,3,0,1,0,0,1,0,0,1,0,17
1977,5.34,0,0,1,39,3,0,1,0,0,1,0,1,0,1,16
1977,5.17,0,0,1,32,3,1,1,0,0,1,1,0,1,1,12
1977,6.41,0,1,0,16,4,0,1,0,0,1,1,0,0,1,17
1977,7.4,0,1,0,10,4,0,1,0,1,0,0,0,1,1,17
1977,6.75,0,1,0,15,4,0,1,0,0,1,0,0,1,0,17
1977,8.46,0,1,0,10,4,0,1,0,0,1,1,0,1,1,17
1977,4.61,0,0,1,10,3,0,1,0,1,0,0,0,0,0,13
1977,8.61,0,0,1,12,3,0,0,0,1,1,1,0,1,0,12
1977,5.24,0,1,0,4,4,0,1,0,0,0,0,0,0,0,16
1977,15.38,0,0,1,12,3,0,1,0,0,0,1,1,0,0,17
1977,2.37,0,1,0,15,4,0,1,0,1,1,0,0,1,0,12
1977,6.72,0,1,0,37,4,0,1,0,1,0,1,1,0,0,12
1977,9.4,0,1,0,23,4,0,1,0,0,1,0,0,1,0,14
1977,7.84,0,0,1,15,3,0,1,0,0,1,0,0,1,0,16
1977,15,0,1,0,10,4,0,1,0,0,0,0,1,0,0,17
1977,4.7,0,1,0,14,4,0,1,0,1,1,0,0,1,0,12
1977,11.28,0,0,1,17,3,0,1,0,0,0,1,1,0,0,13
1977,11.97,0,0,1,24,3,0,1,0,0,1,0,0,1,0,16
1977,13.99,0,1,0,13,4,0,1,0,0,1,1,0,0,0,17
1977,3,0,0,1,5,3,0,1,0,1,1,1,0,1,0,13
1977,3.41,0,0,1,20,3,0,1,0,1,1,0,0,1,0,12
1977,9.62,0,1,0,29,4,0,1,0,0,1,0,0,1,0,14
1977,6.73,0,1,0,10,4,0,1,0,0,0,0,1,0,0,16
1977,9.62,0,0,1,36,3,0,1,0,0,1,1,1,0,1,13
1977,5.19,0,0,1,15,3,0,1,0,1,1,0,0,0,1,13
1977,4.62,0,0,1,26,3,0,1,0,1,1,0,0,0,1,12
1977,5.03,0,1,0,13,4,0,1,0,1,1,0,0,0,1,14
1977,9.84,0,0,1,26,3,0,1,0,0,1,0,0,1,0,14
1977,5.29,0,0,1,9,3,1,1,0,0,1,0,0,1,0,12
1977,10.99,1,0,0,40,1,0,1,0,0,1,0,0,1,0,12
1977,7.08,0,0,1,28,3,1,0,0,0,1,0,1,0,0,16
1977,8.17,1,0,0,12,2,0,1,0,0,0,0,1,0,0,16
1977,5.88,0,1,0,25,4,0,1,0,1,1,0,0,0,1,13
1977,7.92,0,1,0,18,4,0,1,0,1,1,0,0,1,0,13
1977,4.44,0,0,1,9,3,0,1,0,0,0,0,0,1,0,17
1977,6.64,0,0,1,9,3,1,1,0,0,1,0,0,0,0,13
1977,15.8,0,1,0,30,4,0,0,0,0,1,0,0,1,0,17
1977,9.23,0,0,1,40,3,0,1,0,1,0,0,1,0,0,14
1977,12.82,0,0,1,36,3,0,1,0,0,1,0,1,0,0,17
1977,14.18,0,1,0,30,4,0,1,0,0,1,0,0,1,0,16
1977,11.54,0,0,1,27,3,1,1,0,0,1,0,1,0,1,12
1977,9.4,0,0,1,22,3,1,1,0,0,1,0,0,1,1,12
1977,10.39,0,0,1,40,3,1,1,0,0,1,1,0,1,0,13
1977,5.54,0,0,1,40,3,0,1,1,0,1,0,1,0,1,12
1977,7.86,0,0,1,21,3,0,1,0,0,1,0,1,0,0,14
1977,8.17,0,0,1,36,3,1,0,0,0,1,1,0,0,0,13
1977,4.05,0,1,0,16,4,0,1,0,1,1,0,0,1,1,12
1977,7.81,0,0,1,36,3,1,0,0,0,1,0,1,0,0,10
1977,2.56,0,0,1,18,3,0,1,0,0,1,0,0,0,0,13
1977,12.98,0,1,0,11,4,0,1,0,0,0,1,0,0,0,16
1977,41.67,0,1,0,16,4,0,0,0,0,1,0,0,1,0,13
1977,4.81,0,1,0,12,4,0,1,0,1,1,0,0,0,0,13
1977,1.32,0,0,1,2,3,1,1,0,0,1,0,0,1,0,10
1977,3.71,0,0,1,4,3,0,1,0,0,0,0,1,0,0,16
1977,4.81,0,0,1,21,3,1,1,0,0,1,0,1,0,1,16
1977,4.68,0,0,1,4,3,0,1,0,0,0,0,1,0,0,12
1977,8.21,1,0,0,32,2,1,1,0,1,0,1,0,0,1,17
1977,4.03,0,0,1,7,3,0,1,0,1,0,0,1,0,0,16
1977,4.81,0,0,1,5,3,0,0,0,0,0,0,1,0,0,13
1977,15.63,0,0,1,23,3,0,1,0,0,1,1,1,0,0,16
1977,7.69,0,0,1,23,3,1,1,0,0,1,0,1,0,0,5
1977,7.17,0,0,1,14,3,0,1,0,0,1,0,0,1,0,13
1977,8.08,0,1,0,13,4,0,1,0,0,1,0,0,1,0,16
1977,9.03,0,0,1,28,3,0,1,0,0,1,0,0,1,0,13
1977,6.75,0,1,0,35,4,0,1,0,0,1,0,1,0,0,14
1977,8.44,0,1,0,16,4,0,1,0,0,1,0,0,0,0,13
1977,6,0,1,0,12,4,0,1,0,0,1,0,0,0,1,17
1977,6.15,0,0,1,7,3,0,1,0,0,1,1,0,0,1,17
1977,4.1,0,0,1,25,3,0,1,0,0,1,0,0,1,1,12
1977,14.17,0,0,1,22,3,1,1,0,0,1,1,0,1,0,13
1977,6.41,0,0,1,22,3,0,1,0,0,1,0,0,1,1,17
1977,31.09,0,0,1,32,3,0,0,0,0,1,0,0,1,0,13
1977,10.29,0,1,0,35,4,0,1,0,0,1,1,0,1,1,13
1977,5.06,0,0,1,28,3,0,1,0,0,1,0,1,0,0,12
1977,6.37,0,0,1,18,3,0,1,0,0,1,1,0,1,0,13
1977,2.98,0,0,1,11,3,0,1,0,1,0,0,0,1,0,17
1977,13.28,0,0,1,40,3,0,1,0,0,1,0,1,0,0,13
1977,4.2,1,0,0,10,2,0,1,0,0,1,1,0,0,0,13
1977,8.92,0,0,1,40,3,0,1,0,0,1,1,0,1,1,12
1977,2.63,0,0,1,7,3,0,1,0,1,1,0,0,0,0,16
1977,26.24,0,0,1,24,3,0,1,0,0,1,0,1,0,0,12
1977,7.54,0,1,0,36,4,0,1,0,0,0,0,0,0,0,12
1977,8.65,0,0,1,34,3,0,1,0,0,1,0,0,1,1,13
1977,20.99,0,0,1,44,3,0,1,0,0,1,1,1,0,0,16
1977,10.26,0,0,1,44,3,0,1,0,0,1,0,0,1,1,13
1977,8.55,0,0,1,30,3,0,1,0,0,1,0,1,0,0,16
1977,2.08,0,1,0,23,4,0,1,0,0,1,0,1,0,0,12
1977,3,0,0,1,5,3,0,0,0,0,0,1,0,0,0,13
1977,6.01,0,1,0,25,4,0,1,0,0,1,1,0,1,1,16
1977,10.05,0,1,0,14,4,0,1,0,0,0,1,0,1,0,13
1977,5.73,0,0,1,5,3,0,1,0,0,1,0,0,1,0,12
1977,5.93,0,0,1,20,3,0,1,0,0,1,0,0,0,0,12
